"player_id","groups"
572761,"middle"
664901,"middle"
621043,"contact"
649966,"middle"
663611,"contact"
657077,"contact"
500743,"contact"
641470,"power"
672695,"contact"
664058,"contact"
503556,"middle"
669256,"middle"
608701,"middle"
519222,"power"
641513,"power"
613564,"middle"
666018,"middle"
545358,"power"
592273,"contact"
572039,"power"
657041,"contact"
623912,"middle"
621028,"contact"
680700,"contact"
606466,"contact"
665489,"middle"
664850,"contact"
656541,"power"
624585,"power"
518735,"contact"
668800,"middle"
456715,"middle"
521692,"power"
542364,"contact"
606992,"power"
624415,"middle"
669357,"power"
660650,"power"
641645,"contact"
668751,"middle"
660162,"middle"
571980,"power"
575929,"power"
656896,"middle"
642731,"contact"
609280,"middle"
662139,"middle"
669911,"power"
682998,"middle"
666801,"power"
592567,"middle"
596115,"power"
671739,"middle"
608700,"contact"
665833,"power"
545350,"power"
572228,"power"
672284,"power"
600869,"middle"
669222,"contact"
664731,"middle"
642350,"power"
642851,"middle"
543063,"power"
671083,"contact"
660271,"middle"
543592,"contact"
620443,"middle"
668715,"contact"
553993,"power"
518595,"middle"
656537,"power"
608841,"middle"
680911,"contact"
677950,"middle"
666922,"power"
664041,"power"
656495,"power"
656514,"middle"
686676,"middle"
542921,"power"
641512,"middle"
592622,"contact"
663911,"power"
665861,"power"
642137,"power"
665650,"power"
664314,"power"
657193,"middle"
609274,"power"
669023,"power"
608596,"power"
621011,"contact"
668721,"middle"
642721,"power"
621006,"middle"
592348,"power"
667670,"power"
571602,"power"
660634,"contact"
672820,"middle"
501659,"middle"
656821,"power"
621446,"power"
682073,"middle"
668901,"middle"
678662,"power"
543105,"middle"
676646,"middle"
457708,"power"
570481,"power"
624513,"contact"
570560,"middle"
640449,"middle"
595453,"middle"
678225,"contact"
665923,"contact"
595284,"middle"
660620,"middle"
609275,"power"
683146,"middle"
595956,"middle"
621453,"power"
672356,"power"
670242,"power"
641943,"middle"
606019,"middle"
572008,"power"
592144,"middle"
606993,"middle"
669003,"power"
676950,"middle"
657136,"power"
641684,"power"
547379,"power"
678246,"middle"
668904,"contact"
668663,"middle"
650619,"power"
607461,"contact"
593934,"power"
621532,"middle"
641796,"middle"
670351,"middle"
641856,"middle"
641786,"power"
605113,"middle"
666181,"power"
669134,"power"
676628,"power"
657061,"middle"
686823,"contact"
670042,"power"
488771,"power"
676475,"middle"
670276,"middle"
660829,"contact"
672724,"contact"
672478,"contact"
656695,"power"
642020,"middle"
596451,"power"
641432,"contact"
668843,"middle"
663662,"power"
628338,"power"
670869,"contact"
650907,"power"
608671,"contact"
501571,"middle"
665155,"power"
506702,"middle"
666464,"power"
642136,"power"
650339,"power"
622168,"middle"
677954,"contact"
621458,"power"
594838,"middle"
656248,"middle"
656448,"power"
683021,"contact"
553902,"contact"
641505,"middle"
543829,"contact"
664029,"power"
671213,"middle"
608686,"middle"
